tanggal,kelurahan,korban_terdampak,kerusakan,latitude,longitude
2023-02-24,Penatoi,25,Berat,-8.457705645625845,118.70166715505997
2023-03-11,Sarae,319,Ringan,-8.420442162374242,118.78735342642452
2023-03-26,Penatoi,367,Berat,-8.485861644578366,118.72364749122387
2023-04-10,Kodo,172,Berat,-8.486967956682767,118.72115067492818
2023-04-25,Penatoi,107,Ringan,-8.435657105048268,118.7736035400426
2023-05-10,Penatoi,165,Sedang,-8.480281701803193,118.73200161130875
2023-05-25,Paruga,11,Sedang,-8.4902389961891,118.75060446924118
2023-06-09,Penatoi,359,Berat,-8.483315142179443,118.71625110652975
2023-06-24,Monggonao,406,Sedang,-8.407626860412323,118.79597457214619
2023-07-09,Sarae,178,Sedang,-8.417852874722382,118.78515814000173
2023-07-24,Paruga,473,Sedang,-8.46459354376449,118.7863789622965
2023-08-08,Sarae,324,Sedang,-8.434417923267262,118.7406773748572
2023-08-23,Sarae,334,Berat,-8.446272432633197,118.77623612137072
2023-09-07,Kodo,384,Sedang,-8.432287573651744,118.71438761553898
2023-09-22,Kodo,101,Sedang,-8.431732884753725,118.70086190025918
2023-10-07,Paruga,190,Ringan,-8.437126598494,118.7019972932578
2023-10-22,Kodo,240,Berat,-8.47338986314627,118.75866017374045
2023-11-06,Kodo,310,Ringan,-8.496099357923718,118.74553949052479
2023-11-21,Kodo,157,Ringan,-8.454443321800989,118.75180153489084
2023-12-06,Sarae,289,Berat,-8.410902611530929,118.70074631404172
2023-12-21,Paruga,198,Sedang,-8.443050274148142,118.74226866196574
