tanggal,curah_hujan,lokasi
2019-11-14,14.18,Bima Timur
2019-11-15,21.93,Bima Timur
2019-11-16,10.02,Bima Barat
2019-11-17,17.81,Bima Timur
2019-11-18,14.74,Bima Barat
2019-11-19,21.42,Bima Barat
2019-11-20,11.89,Bima Barat
2019-11-21,22.3,Bima Timur
2019-11-22,11.8,Bima Tengah
2019-11-23,30.63,Bima Timur
2019-11-24,12.8,Bima Barat
2019-11-25,1.77,Bima Barat
2019-11-26,6.75,Bima Timur
2019-11-27,16.91,Bima Barat
2019-11-28,49.03,Bima Barat
2019-11-29,29.83,Bima Timur
2019-11-30,1.32,Bima Timur
2019-12-01,3.94,Bima Timur
2019-12-02,36.22,Bima Barat
2019-12-03,26.24,Bima Barat
2019-12-04,66.53,Bima Tengah
2019-12-05,11.41,Bima Tengah
2019-12-06,7.93,Bima Timur
2019-12-07,17.61,Bima Tengah
2019-12-08,11.23,Bima Barat
2019-12-09,33.97,Bima Tengah
2019-12-10,10.91,Bima Barat
2019-12-11,13.42,Bima Timur
2019-12-12,6.96,Bima Timur
2019-12-13,28.47,Bima Barat
2019-12-14,7.37,Bima Tengah
2019-12-15,22.59,Bima Timur
2019-12-16,54.53,Bima Timur
2019-12-17,2.64,Bima Tengah
2019-12-18,44.4,Bima Tengah
2019-12-19,20.55,Bima Barat
2019-12-20,5.95,Bima Tengah
2019-12-21,18.12,Bima Tengah
2019-12-22,27.9,Bima Tengah
2019-12-23,8.4,Bima Barat
2019-12-24,23.52,Bima Barat
2019-12-25,46.86,Bima Timur
2019-12-26,10.9,Bima Barat
2019-12-27,6.88,Bima Timur
2019-12-28,15.09,Bima Tengah
2019-12-29,17.4,Bima Timur
2019-12-30,35.16,Bima Timur
2019-12-31,14.71,Bima Tengah
2020-01-01,11.74,Bima Timur
2020-01-02,6.72,Bima Barat
2020-01-03,3.13,Bima Barat
2020-01-04,4.94,Bima Barat
2020-01-05,4.91,Bima Barat
2020-01-06,13.53,Bima Timur
2020-01-07,3.82,Bima Timur
2020-01-08,15.98,Bima Tengah
2020-01-09,53.75,Bima Timur
2020-01-10,35.85,Bima Timur
2020-01-11,13.43,Bima Timur
2020-01-12,76.85,Bima Tengah
2020-01-13,17.44,Bima Barat
2020-01-14,19.36,Bima Timur
2020-01-15,14.87,Bima Tengah
2020-01-16,16.25,Bima Tengah
2020-01-17,10.59,Bima Tengah
2020-01-18,13.59,Bima Barat
2020-01-19,44.6,Bima Timur
2020-01-20,38.48,Bima Tengah
2020-01-21,1.67,Bima Barat
2020-01-22,4.3,Bima Tengah
2020-01-23,8.51,Bima Tengah
2020-01-24,31.9,Bima Tengah
2020-01-25,39.06,Bima Tengah
2020-01-26,27.83,Bima Tengah
2020-01-27,5.93,Bima Barat
2020-01-28,10.77,Bima Timur
2020-01-29,23.82,Bima Timur
2020-01-30,13.75,Bima Timur
2020-01-31,12.28,Bima Timur
2020-02-01,12.43,Bima Barat
2020-02-02,36.56,Bima Barat
2020-02-03,25.56,Bima Barat
2020-02-04,12.98,Bima Tengah
2020-02-05,21.24,Bima Tengah
2020-02-06,5.17,Bima Tengah
2020-02-07,10.79,Bima Timur
2020-02-08,34.21,Bima Tengah
2020-02-09,3.57,Bima Timur
2020-02-10,25.78,Bima Tengah
2020-02-11,1.65,Bima Timur
2020-02-12,49.56,Bima Tengah
2020-02-13,10.58,Bima Tengah
2020-02-14,22.37,Bima Barat
2020-02-15,18.19,Bima Tengah
2020-02-16,18.68,Bima Tengah
2020-02-17,20.96,Bima Barat
2020-02-18,2.9,Bima Timur
2020-02-19,18.97,Bima Barat
2020-02-20,14.4,Bima Barat
2020-02-21,10.62,Bima Timur
2020-02-22,8.5,Bima Tengah
2020-02-23,19.33,Bima Timur
2020-02-24,6.96,Bima Tengah
2020-02-25,33.8,Bima Tengah
2020-02-26,23.54,Bima Timur
2020-02-27,20.2,Bima Barat
2020-02-28,32.84,Bima Timur
2020-02-29,2.41,Bima Tengah
2020-03-01,5.0,Bima Timur
2020-03-02,24.28,Bima Timur
2020-03-03,8.94,Bima Tengah
2020-03-04,9.95,Bima Barat
2020-03-05,4.3,Bima Timur
2020-03-06,6.98,Bima Tengah
2020-03-07,34.31,Bima Tengah
2020-03-08,23.88,Bima Timur
2020-03-09,19.17,Bima Barat
2020-03-10,10.29,Bima Timur
2020-03-11,18.29,Bima Barat
2020-03-12,36.34,Bima Barat
2020-03-13,9.14,Bima Barat
2020-03-14,16.22,Bima Barat
2020-03-15,51.57,Bima Timur
2020-03-16,27.58,Bima Tengah
2020-03-17,10.41,Bima Tengah
2020-03-18,26.05,Bima Tengah
2020-03-19,3.5,Bima Tengah
2020-03-20,15.72,Bima Tengah
2020-03-21,26.03,Bima Tengah
2020-03-22,22.07,Bima Timur
2020-03-23,25.86,Bima Barat
2020-03-24,29.92,Bima Tengah
2020-03-25,23.33,Bima Timur
2020-03-26,22.85,Bima Tengah
2020-03-27,19.49,Bima Tengah
2020-03-28,6.24,Bima Barat
2020-03-29,34.3,Bima Barat
2020-03-30,16.16,Bima Barat
2020-03-31,27.1,Bima Tengah
2020-04-01,31.95,Bima Tengah
2020-04-02,10.85,Bima Tengah
2020-04-03,11.66,Bima Barat
2020-04-04,12.99,Bima Timur
2020-04-05,38.7,Bima Tengah
2020-04-06,7.58,Bima Tengah
2020-04-07,43.2,Bima Tengah
2020-04-08,19.34,Bima Timur
2020-04-09,20.36,Bima Tengah
2020-04-10,30.99,Bima Timur
2020-04-11,17.75,Bima Tengah
2020-04-12,34.55,Bima Timur
2020-04-13,10.84,Bima Tengah
2020-04-14,42.29,Bima Barat
2020-04-15,11.55,Bima Barat
2020-04-16,43.35,Bima Barat
2020-04-17,11.81,Bima Barat
2020-04-18,13.29,Bima Tengah
2020-04-19,6.77,Bima Barat
2020-04-20,8.59,Bima Timur
2020-04-21,16.22,Bima Barat
2020-04-22,19.88,Bima Barat
2020-04-23,32.88,Bima Barat
2020-04-24,14.05,Bima Tengah
2020-04-25,22.11,Bima Barat
2020-04-26,18.91,Bima Timur
2020-04-27,23.87,Bima Barat
2020-04-28,9.71,Bima Barat
2020-04-29,10.71,Bima Barat
2020-04-30,9.72,Bima Timur
2020-05-01,37.21,Bima Barat
2020-05-02,42.55,Bima Timur
2020-05-03,10.33,Bima Timur
2020-05-04,10.51,Bima Barat
2020-05-05,26.25,Bima Timur
2020-05-06,45.69,Bima Tengah
2020-05-07,52.26,Bima Barat
2020-05-08,9.94,Bima Barat
2020-05-09,12.15,Bima Timur
2020-05-10,20.64,Bima Timur
2020-05-11,21.37,Bima Barat
2020-05-12,14.49,Bima Tengah
2020-05-13,8.34,Bima Timur
2020-05-14,16.24,Bima Timur
2020-05-15,52.23,Bima Tengah
2020-05-16,10.84,Bima Tengah
2020-05-17,19.73,Bima Barat
2020-05-18,75.2,Bima Tengah
2020-05-19,10.71,Bima Barat
2020-05-20,27.11,Bima Tengah
2020-05-21,53.68,Bima Timur
2020-05-22,25.51,Bima Barat
2020-05-23,35.47,Bima Barat
2020-05-24,29.66,Bima Barat
2020-05-25,24.11,Bima Tengah
2020-05-26,41.64,Bima Timur
2020-05-27,26.52,Bima Barat
2020-05-28,14.6,Bima Barat
2020-05-29,18.63,Bima Barat
2020-05-30,21.89,Bima Barat
2020-05-31,12.09,Bima Timur
2020-06-01,19.26,Bima Tengah
2020-06-02,17.27,Bima Timur
2020-06-03,26.47,Bima Barat
2020-06-04,63.1,Bima Timur
2020-06-05,20.1,Bima Barat
2020-06-06,46.45,Bima Tengah
2020-06-07,25.81,Bima Tengah
2020-06-08,19.19,Bima Tengah
2020-06-09,11.54,Bima Barat
2020-06-10,19.3,Bima Timur
2020-06-11,18.44,Bima Tengah
2020-06-12,9.16,Bima Barat
2020-06-13,10.44,Bima Barat
2020-06-14,22.03,Bima Timur
2020-06-15,46.15,Bima Tengah
2020-06-16,15.83,Bima Barat
2020-06-17,4.09,Bima Timur
2020-06-18,6.65,Bima Tengah
2020-06-19,27.59,Bima Timur
2020-06-20,5.0,Bima Timur
2020-06-21,30.66,Bima Barat
2020-06-22,26.55,Bima Barat
2020-06-23,15.42,Bima Barat
2020-06-24,9.23,Bima Timur
2020-06-25,13.74,Bima Barat
2020-06-26,21.64,Bima Timur
2020-06-27,5.17,Bima Timur
2020-06-28,43.12,Bima Barat
2020-06-29,21.49,Bima Tengah
2020-06-30,23.29,Bima Tengah
2020-07-01,26.42,Bima Tengah
2020-07-02,40.39,Bima Timur
2020-07-03,19.33,Bima Timur
2020-07-04,27.6,Bima Timur
2020-07-05,9.37,Bima Barat
2020-07-06,52.4,Bima Timur
2020-07-07,18.38,Bima Barat
2020-07-08,9.33,Bima Barat
2020-07-09,11.54,Bima Tengah
2020-07-10,2.24,Bima Tengah
2020-07-11,11.48,Bima Tengah
2020-07-12,0.87,Bima Barat
2020-07-13,29.01,Bima Barat
2020-07-14,22.78,Bima Barat
2020-07-15,7.04,Bima Timur
2020-07-16,16.06,Bima Barat
2020-07-17,16.62,Bima Tengah
2020-07-18,5.74,Bima Tengah
2020-07-19,13.97,Bima Barat
2020-07-20,17.02,Bima Barat
2020-07-21,13.67,Bima Tengah
2020-07-22,9.32,Bima Barat
2020-07-23,6.79,Bima Tengah
2020-07-24,13.29,Bima Timur
2020-07-25,10.33,Bima Tengah
2020-07-26,25.21,Bima Timur
2020-07-27,42.05,Bima Barat
2020-07-28,31.68,Bima Barat
2020-07-29,17.45,Bima Timur
2020-07-30,9.63,Bima Barat
2020-07-31,31.1,Bima Timur
2020-08-01,26.29,Bima Barat
2020-08-02,40.12,Bima Tengah
2020-08-03,19.35,Bima Barat
2020-08-04,50.62,Bima Tengah
2020-08-05,19.35,Bima Tengah
2020-08-06,9.59,Bima Timur
2020-08-07,11.17,Bima Barat
2020-08-08,24.37,Bima Timur
2020-08-09,10.3,Bima Barat
2020-08-10,50.4,Bima Tengah
2020-08-11,22.96,Bima Tengah
2020-08-12,17.16,Bima Barat
2020-08-13,18.26,Bima Barat
2020-08-14,13.56,Bima Timur
2020-08-15,3.07,Bima Barat
2020-08-16,11.17,Bima Barat
2020-08-17,46.36,Bima Barat
2020-08-18,19.74,Bima Timur
2020-08-19,34.17,Bima Barat
2020-08-20,34.83,Bima Tengah
2020-08-21,16.17,Bima Timur
2020-08-22,26.59,Bima Timur
2020-08-23,3.48,Bima Tengah
2020-08-24,43.92,Bima Tengah
2020-08-25,41.59,Bima Tengah
2020-08-26,23.89,Bima Barat
2020-08-27,20.26,Bima Tengah
2020-08-28,16.34,Bima Barat
2020-08-29,36.85,Bima Timur
2020-08-30,28.75,Bima Timur
2020-08-31,12.41,Bima Tengah
2020-09-01,5.99,Bima Barat
2020-09-02,4.92,Bima Tengah
2020-09-03,36.59,Bima Tengah
2020-09-04,16.07,Bima Barat
2020-09-05,23.61,Bima Tengah
2020-09-06,17.68,Bima Timur
2020-09-07,4.98,Bima Tengah
2020-09-08,3.57,Bima Barat
2020-09-09,11.73,Bima Barat
2020-09-10,12.56,Bima Timur
2020-09-11,12.55,Bima Barat
2020-09-12,12.85,Bima Barat
2020-09-13,60.42,Bima Timur
2020-09-14,33.82,Bima Tengah
2020-09-15,19.94,Bima Timur
2020-09-16,15.76,Bima Tengah
2020-09-17,16.19,Bima Timur
2020-09-18,28.03,Bima Tengah
2020-09-19,15.65,Bima Timur
2020-09-20,31.52,Bima Tengah
2020-09-21,21.55,Bima Timur
2020-09-22,60.78,Bima Tengah
2020-09-23,14.93,Bima Timur
2020-09-24,35.46,Bima Barat
2020-09-25,6.52,Bima Tengah
2020-09-26,9.84,Bima Timur
2020-09-27,55.6,Bima Tengah
2020-09-28,30.61,Bima Tengah
2020-09-29,23.92,Bima Timur
2020-09-30,70.93,Bima Tengah
2020-10-01,15.93,Bima Timur
2020-10-02,35.4,Bima Barat
2020-10-03,37.17,Bima Tengah
2020-10-04,47.9,Bima Barat
2020-10-05,5.82,Bima Tengah
2020-10-06,15.85,Bima Tengah
2020-10-07,21.28,Bima Tengah
2020-10-08,47.39,Bima Timur
2020-10-09,23.23,Bima Barat
2020-10-10,37.22,Bima Tengah
2020-10-11,5.31,Bima Timur
2020-10-12,13.11,Bima Tengah
2020-10-13,41.48,Bima Timur
2020-10-14,14.53,Bima Tengah
2020-10-15,16.87,Bima Barat
2020-10-16,46.89,Bima Barat
2020-10-17,7.95,Bima Tengah
2020-10-18,9.7,Bima Timur
2020-10-19,4.76,Bima Tengah
2020-10-20,48.12,Bima Timur
2020-10-21,33.4,Bima Tengah
2020-10-22,32.83,Bima Timur
2020-10-23,12.81,Bima Barat
2020-10-24,4.39,Bima Tengah
2020-10-25,3.17,Bima Barat
2020-10-26,41.69,Bima Barat
2020-10-27,25.06,Bima Tengah
2020-10-28,28.51,Bima Tengah
2020-10-29,20.57,Bima Timur
2020-10-30,8.7,Bima Timur
2020-10-31,13.3,Bima Barat
2020-11-01,6.88,Bima Timur
2020-11-02,6.09,Bima Timur
2020-11-03,31.56,Bima Tengah
2020-11-04,3.5,Bima Timur
2020-11-05,6.93,Bima Barat
2020-11-06,13.93,Bima Timur
2020-11-07,18.06,Bima Barat
2020-11-08,4.7,Bima Tengah
2020-11-09,23.02,Bima Barat
2020-11-10,19.73,Bima Timur
2020-11-11,41.21,Bima Tengah
2020-11-12,18.3,Bima Timur
2020-11-13,24.71,Bima Tengah
2020-11-14,9.15,Bima Tengah
2020-11-15,9.49,Bima Timur
2020-11-16,5.21,Bima Timur
2020-11-17,9.23,Bima Tengah
2020-11-18,13.14,Bima Tengah
2020-11-19,38.52,Bima Timur
2020-11-20,8.04,Bima Barat
2020-11-21,62.53,Bima Timur
2020-11-22,26.26,Bima Tengah
2020-11-23,22.6,Bima Timur
2020-11-24,17.24,Bima Barat
2020-11-25,14.84,Bima Timur
2020-11-26,10.46,Bima Tengah
2020-11-27,4.5,Bima Timur
2020-11-28,8.3,Bima Tengah
2020-11-29,48.05,Bima Tengah
2020-11-30,25.14,Bima Timur
2020-12-01,47.77,Bima Tengah
2020-12-02,10.23,Bima Tengah
2020-12-03,6.7,Bima Barat
2020-12-04,17.11,Bima Barat
2020-12-05,8.57,Bima Barat
2020-12-06,19.87,Bima Barat
2020-12-07,3.57,Bima Tengah
2020-12-08,1.9,Bima Timur
2020-12-09,21.98,Bima Tengah
2020-12-10,48.93,Bima Tengah
2020-12-11,22.68,Bima Tengah
2020-12-12,24.96,Bima Timur
2020-12-13,17.67,Bima Barat
2020-12-14,18.95,Bima Tengah
2020-12-15,4.27,Bima Tengah
2020-12-16,8.86,Bima Barat
2020-12-17,38.26,Bima Tengah
2020-12-18,12.91,Bima Timur
2020-12-19,37.75,Bima Tengah
2020-12-20,18.56,Bima Tengah
2020-12-21,19.27,Bima Barat
2020-12-22,12.99,Bima Tengah
2020-12-23,27.58,Bima Tengah
2020-12-24,32.32,Bima Timur
2020-12-25,8.44,Bima Barat
2020-12-26,4.71,Bima Barat
2020-12-27,2.42,Bima Timur
2020-12-28,24.12,Bima Tengah
2020-12-29,22.2,Bima Barat
2020-12-30,74.01,Bima Barat
2020-12-31,17.75,Bima Tengah
2021-01-01,15.42,Bima Tengah
2021-01-02,20.36,Bima Barat
2021-01-03,21.17,Bima Tengah
2021-01-04,14.51,Bima Barat
2021-01-05,8.69,Bima Tengah
2021-01-06,17.03,Bima Tengah
2021-01-07,16.55,Bima Timur
2021-01-08,16.35,Bima Tengah
2021-01-09,29.61,Bima Timur
2021-01-10,16.8,Bima Tengah
2021-01-11,4.82,Bima Barat
2021-01-12,9.97,Bima Barat
2021-01-13,14.37,Bima Tengah
2021-01-14,17.41,Bima Tengah
2021-01-15,24.48,Bima Barat
2021-01-16,17.51,Bima Tengah
2021-01-17,1.96,Bima Timur
2021-01-18,5.42,Bima Timur
2021-01-19,25.67,Bima Timur
2021-01-20,14.06,Bima Timur
2021-01-21,18.66,Bima Timur
2021-01-22,12.68,Bima Tengah
2021-01-23,9.94,Bima Tengah
2021-01-24,13.06,Bima Timur
2021-01-25,18.83,Bima Tengah
2021-01-26,16.71,Bima Tengah
2021-01-27,32.18,Bima Timur
2021-01-28,3.91,Bima Tengah
2021-01-29,4.52,Bima Tengah
